,start,end,start_time,clear_sky_ghi,clear_sky_dni,clear_sky_dhi,cloudy_sky_ghi,cloudy_sky_dni,cloudy_sky_dhi
0,00:00,00:15,2023-12-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
1,00:15,00:30,2023-12-21 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0
2,00:30,00:45,2023-12-21 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0
3,00:45,01:00,2023-12-21 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0
4,01:00,01:15,2023-12-21 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
5,01:15,01:30,2023-12-21 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0
6,01:30,01:45,2023-12-21 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0
7,01:45,02:00,2023-12-21 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0
8,02:00,02:15,2023-12-21 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
9,02:15,02:30,2023-12-21 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0
10,02:30,02:45,2023-12-21 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0
11,02:45,03:00,2023-12-21 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0
12,03:00,03:15,2023-12-21 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
13,03:15,03:30,2023-12-21 03:15:00,0.0,0.0,0.0,0.0,0.0,0.0
14,03:30,03:45,2023-12-21 03:30:00,0.0,0.0,0.0,0.0,0.0,0.0
15,03:45,04:00,2023-12-21 03:45:00,0.0,0.0,0.0,0.0,0.0,0.0
16,04:00,04:15,2023-12-21 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
17,04:15,04:30,2023-12-21 04:15:00,0.0,0.0,0.0,0.0,0.0,0.0
18,04:30,04:45,2023-12-21 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0
19,04:45,05:00,2023-12-21 04:45:00,0.0,0.0,0.0,0.0,0.0,0.0
20,05:00,05:15,2023-12-21 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
21,05:15,05:30,2023-12-21 05:15:00,0.0,0.0,0.0,0.0,0.0,0.0
22,05:30,05:45,2023-12-21 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0
23,05:45,06:00,2023-12-21 05:45:00,0.0,0.0,0.0,0.0,0.0,0.0
