time,time_epoch,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition
2023-12-16 00:00:00,1702684800,7.0,44.5,0,6.7,10.8,206,SSW,1038.0,30.66,0.0,0.0,96,45,4.8,40.7,4.8,40.7,7.0,44.5,6.3,43.4,0,0,0,0,2.0,1.0,14.0,22.5,1.0,Mist
2023-12-16 01:00:00,1702688400,6.8,44.2,0,7.2,11.5,213,SSW,1038.0,30.66,0.0,0.0,96,61,4.5,40.1,4.5,40.1,6.8,44.2,6.3,43.3,0,0,0,0,2.0,1.0,14.6,23.5,1.0,Mist
2023-12-16 02:00:00,1702692000,6.9,44.4,0,7.6,12.2,225,SW,1038.0,30.65,0.0,0.0,98,100,4.5,40.1,4.5,40.1,6.9,44.4,6.5,43.8,0,0,0,0,0.0,0.0,15.3,24.7,1.0,Fog
2023-12-16 03:00:00,1702695600,7.6,45.7,0,8.1,13.0,221,SW,1038.0,30.64,0.0,0.0,96,34,5.3,41.5,5.3,41.5,7.6,45.7,7.1,44.7,0,0,0,0,10.0,6.0,16.5,26.6,1.0,Partly cloudy
2023-12-16 04:00:00,1702699200,7.8,46.0,0,8.5,13.7,224,SW,1037.0,30.63,0.0,0.0,94,18,5.4,41.6,5.4,41.6,7.8,46.0,6.9,44.5,0,0,0,0,10.0,6.0,17.9,28.7,1.0,Clear
2023-12-16 05:00:00,1702702800,7.7,45.8,0,8.9,14.4,220,SW,1037.0,30.63,0.0,0.0,94,28,5.1,41.2,5.1,41.2,7.7,45.8,6.8,44.3,0,0,0,0,10.0,6.0,18.4,29.6,1.0,Partly cloudy
2023-12-16 06:00:00,1702706400,7.9,46.1,0,9.6,15.5,222,SW,1038.0,30.64,0.0,0.0,94,32,5.2,41.4,5.2,41.4,7.9,46.1,7.0,44.6,0,0,0,0,10.0,6.0,19.1,30.7,1.0,Partly cloudy
2023-12-16 07:00:00,1702710000,7.9,46.3,0,8.7,14.0,227,SW,1038.0,30.65,0.0,0.0,93,22,5.5,41.9,5.5,41.9,7.9,46.3,6.9,44.4,0,0,0,0,10.0,6.0,17.7,28.5,1.0,Clear
2023-12-16 08:00:00,1702713600,7.8,46.0,0,8.3,13.3,224,SW,1038.0,30.66,0.0,0.0,93,13,5.4,41.8,5.4,41.8,7.8,46.0,6.7,44.0,0,0,0,0,10.0,6.0,16.9,27.2,1.0,Clear
2023-12-16 09:00:00,1702717200,7.9,46.2,1,8.5,13.7,219,SW,1038.0,30.66,0.0,0.0,93,17,5.5,41.9,5.5,41.9,7.9,46.2,6.8,44.3,0,0,0,0,10.0,6.0,16.8,27.0,3.0,Sunny
