time,time_epoch,temp_c,temp_f,is_day,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition
2024-01-01 00:00:00,1704067200,6.9,44.3,0,21.3,34.2,263,W,996.0,29.42,0.06,0.0,0.0,79,100,2.2,35.9,2.2,35.9,6.9,44.3,3.5,38.3,0,45,0,0,9.0,5.0,32.3,52.0,1.0,Thundery outbreaks possible
2024-01-01 01:00:00,1704070800,6.7,44.0,0,19.7,31.7,270,W,998.0,29.46,0.02,0.0,0.0,79,94,2.1,35.7,2.1,35.7,6.7,44.0,3.3,37.9,0,45,0,0,10.0,6.0,30.0,48.3,1.0,Patchy rain possible
2024-01-01 02:00:00,1704074400,6.2,43.1,0,18.6,29.9,261,W,999.0,29.49,0.0,0.0,0.0,78,66,1.6,34.9,1.6,34.9,6.2,43.1,2.6,36.8,0,45,0,0,10.0,6.0,29.2,46.9,1.0,Cloudy
2024-01-01 03:00:00,1704078000,5.8,42.4,0,18.1,29.2,261,W,1000.0,29.52,0.02,0.0,0.0,77,100,1.1,34.0,1.1,34.0,5.8,42.4,2.1,35.9,0,45,0,0,10.0,6.0,29.8,48.0,1.0,Patchy rain possible
2024-01-01 04:00:00,1704081600,6.0,42.8,0,18.1,29.2,261,W,1000.0,29.54,0.01,0.0,0.0,77,79,1.4,34.6,1.4,34.6,6.0,42.8,2.2,36.0,0,45,0,0,10.0,6.0,28.6,46.0,1.0,Patchy rain possible
2024-01-01 05:00:00,1704085200,5.3,41.6,0,16.3,26.3,256,WSW,1001.0,29.57,0.0,0.0,0.0,78,44,0.8,33.4,0.8,33.4,5.3,41.6,1.8,35.2,0,0,0,0,10.0,6.0,26.9,43.3,1.0,Partly cloudy
2024-01-01 06:00:00,1704088800,5.1,41.1,0,14.8,23.8,252,WSW,1002.0,29.58,0.0,0.0,0.0,78,37,0.7,33.3,0.7,33.3,5.1,41.1,1.7,35.0,0,0,0,0,10.0,6.0,24.6,39.6,1.0,Partly cloudy
2024-01-01 07:00:00,1704092400,4.7,40.5,0,12.3,19.8,240,WSW,1002.0,29.58,0.0,0.0,0.0,81,19,0.8,33.4,0.8,33.4,4.7,40.5,1.7,35.1,0,0,0,0,10.0,6.0,20.9,33.6,1.0,Clear
2024-01-01 08:00:00,1704096000,4.5,40.1,0,11.4,18.4,231,SW,1003.0,29.61,0.0,0.0,0.0,84,34,0.6,33.2,0.6,33.2,4.5,40.1,2.1,35.7,0,0,0,0,10.0,6.0,19.7,31.8,1.0,Partly cloudy
2024-01-01 09:00:00,1704099600,4.7,40.5,1,11.0,17.6,223,SW,1003.0,29.63,0.0,0.0,0.0,85,47,1.0,33.8,1.0,33.8,4.7,40.5,2.5,36.4,0,0,0,0,10.0,6.0,18.9,30.4,2.0,Partly cloudy
